book	chapter	old_dore_id	new_dore_id	basis	local_spacing_note
Psalms	129	036	076	AFFLICTED_FROM_YOUTH	enemy persecution imagery
Psalms	131	071	187	CHILDLIKE_REST	children imagery
Psalms	132	072	112	ARK_AND_DWELLING	temple dwelling imagery
Psalms	133	039	078	BROTHERLY_UNITY	David/Jonathan friendship imagery
Psalms	134	089	116	TEMPLE_WORSHIP	assembly/worship imagery
Psalms	135	057	004	PRAISE_VS_IDOLS	worship imagery
Psalms	136	037	046	EXODUS_DELIVERANCE	crossing waters imagery
Psalms	138	023	114	THANKSGIVING_PRAYER	prayer imagery
Psalms	139	001	193	KNOWN_FROM_WOMB	annunciation/conception imagery
Psalms	140	023	087	DELIVER_FROM_VIOLENT	rescue imagery
Psalms	141	039	004	PRAYER_AS_INCENSE	offering/worship imagery
Psalms	142	023	114	CAVE_PRAYER	prayer imagery
Psalms	143	023	087	DELIVERANCE_PRAYER	rescue imagery
Psalms	145	023	118	KINGDOM_AND_PRAISE	royal triumph imagery
Psalms	146	015	091	GIVES_LIFE_AND_HELP	life restoration imagery
Psalms	148	001	007	CREATION_PRAISE	creation/waters imagery
Psalms	149	057	075	HOLY_WARRIOR_PRAISE	David/Goliath victory imagery
Psalms	150	072	116	SANCTUARY_PRAISE	worship assembly imagery
Isaiah	1	122	114	CONFESSION_AND_CLEANSING	separates opening chapters
Isaiah	2	122	241	ZION_EXALTED	New Jerusalem/Zion imagery
Isaiah	3	122	240	JERUSALEM_JUDGMENT	judgment imagery
Isaiah	4	122	241	ZION_RESTORED	Zion glory imagery
Isaiah	5	122	089	VINEYARD	cedar/building land imagery
Isaiah	7	001	193	IMMANUEL_SIGN	annunciation/virgin conception fulfillment
Isaiah	9	001	194	CHILD_BORN_MESSIAH	Nativity fulfillment
Isaiah	11	001	071	BRANCH_AND_PEACE	Ruth/Boaz messianic line imagery
Isaiah	12	001	046	SALVATION_SONG	deliverance crossing imagery
Isaiah	15	123	127	MOAB_LAMENT	mourning ruins imagery
Isaiah	16	123	108	THRONE_AND_TRIBUTE	king/gifts imagery
Isaiah	17	123	115	CITY_RUIN	ruined city imagery
Isaiah	18	123	161	NATIONS_AND_MESSENGERS	nations/light imagery
Isaiah	19	123	029	EGYPT	Jacob going into Egypt imagery
Isaiah	20	123	014	EXILE_SHAME	expulsion/exile imagery
Isaiah	21	123	239	FALLEN_BABYLON	Babylon-fall imagery
Isaiah	23	123	234	TYRE_SEA_TRADE_JUDGMENT	shipwreck/sea imagery
Isaiah	25	001	118	VICTORY_FEAST_AND_EXALTATION	triumph imagery
Isaiah	26	001	181	DEAD_SHALL_LIVE	burial/resurrection trajectory
Isaiah	28	103	116	TEACHING_PRECEPT_UPON_PRECEPT	law/word imagery
Isaiah	29	115	214	JERUSALEM_AND_CORRUPT_WORSHIP	temple cleansing imagery
Isaiah	30	103	087	DELIVERANCE_FROM_ENEMIES	rescue battle imagery
Isaiah	31	103	062	LION_IMAGERY	Samson/lion imagery
Isaiah	32	001	088	RIGHTEOUS_KING	wisdom/justice king imagery
Isaiah	33	001	103	ZION_DELIVERED	Jerusalem deliverance imagery
Isaiah	34	122	240	NATIONS_JUDGMENT	judgment imagery
Isaiah	36	103	115	JERUSALEM_UNDER_THREAT	walls/city imagery
Isaiah	38	114	091	HEZEKIAH_SICKNESS_RECOVERY	life/death restoration imagery
Isaiah	39	123	239	BABYLON_FUTURE	Babylon imagery
Isaiah	40	001	183	VOICE_IN_WILDERNESS	John Baptist fulfillment
Isaiah	41	111	087	FEAR_NOT_I_HELP_YOU	rescue imagery
Isaiah	42	122	198	SERVANT_TO_NATIONS	Jesus preaching imagery
Isaiah	44	232	004	IDOLATRY_VS_TRUE_GOD	true worship/offerings imagery
Isaiah	46	123	004	IDOLS_BOW_DOWN	worship/idol contrast imagery
Isaiah	47	123	239	BABYLON_HUMBLED	Babylon fall imagery
Isaiah	48	111	040	COMMANDMENTS_AND_COVENANT	law imagery
Isaiah	49	122	161	LIGHT_TO_NATIONS	nations/light imagery
Isaiah	51	001	007	CREATION_AND_COMFORT	creation imagery
Isaiah	52	111	225	GOOD_NEWS_PROCLAIMED	apostles preaching gospel imagery
Isaiah	53	210	175	SUFFERING_SERVANT	Jesus scourged; direct passion correspondence
Isaiah	54	111	241	RESTORED_CITY	New Jerusalem imagery
Isaiah	56	116	214	HOUSE_OF_PRAYER_FOR_NATIONS	temple imagery
Isaiah	57	125	120	CONTRITE_AND_AFFLICTED	affliction imagery
Isaiah	58	116	201	MERCY_AND_CARE_FOR_NEIGHBOR	Good Samaritan imagery
Isaiah	59	125	240	SIN_AND_JUDGMENT	judgment imagery
Isaiah	62	241	172	ZION_AND_COMING_SALVATION	coming king imagery
Isaiah	63	240	075	DIVINE_WARRIOR	warrior imagery
Isaiah	64	114	039	SINAI_FIRE_AND_TREMBLING	Sinai imagery
Isaiah	65	241	182	NEW_CREATION_AND_LIFE	resurrection/new-life imagery
Isaiah	66	241	192	GLORY_AND_FINAL_GATHERING	ascension/heavenly glory imagery
SUMMARY	*	155_UNIQUE	TARGET_190_210	ROUND3_LOCAL_SPACING_NO_FORCED_MATCHES	prefer >=8 chapter reuse spacing where semantically possible
