layer	dore_id	dore_title	primary_reference	parallel_target	parallel_type	status	notes
ONE_PARALLEL	103	Destruction of the Army of Sennacherib	2 Kings 19	Psalm 46	ZION-DELIVERANCE PARALLEL	VERIFIED	Master ID verified.
ONE_PARALLEL	116	Ezra Reading the Law in the Hearing of the People	Nehemiah 8	Luke 4	SCRIPTURE-PUBLIC READING	VERIFIED	Corrected to master ID 116.
ONE_PARALLEL	121	Job and His Friends	Job 2	James 5	JOB-PERSEVERANCE	VERIFIED	Corrected to master ID 121.
ONE_PARALLEL	122	Isaiah	Isaiah 6	John 12	ISAIAH-CHRISTOLOGICAL RETROSPECT	VERIFIED	Corrected to actual Isaiah 6 master plate.
ONE_PARALLEL	129	The Vision of the Valley of the Dry Bones	Ezekiel 37	Revelation 20	RESURRECTION-ESCHATOLOGY	VERIFIED	Corrected to master ID 129.
ONE_PARALLEL	133	Daniel in the Den of Lions	Daniel 6	Hebrews 11	FAITH RETROSPECT	VERIFIED	Corrected to master ID 133.
ONE_PARALLEL	136	Jonah Cast Forth by the Whale	Jonah 2	Matthew 12	JONAH-CHRIST TYPOLOGY	VERIFIED	Corrected to master ID 136.
ONE_PARALLEL	136	Jonah Cast Forth by the Whale	Jonah 2	Luke 11	JONAH-CHRIST TYPOLOGY	VERIFIED	Corrected to master ID 136.
ONE_PARALLEL	193	The Annunciation	Luke 1	Isaiah 7	PROPHECY-FULFILLMENT	VERIFIED	Corrected to master ID 193.
ONE_PARALLEL	194	The Nativity	Luke 2	Micah 5	PROPHECY-FULFILLMENT	VERIFIED	Corrected to master ID 194.
ONE_PARALLEL	162	The Flight Into Egypt	Matthew 2	Hosea 11	PROPHECY-FULFILLMENT	VERIFIED	Corrected to master ID 162.
ONE_PARALLEL	163	The Massacre of the Innocents	Matthew 2	Jeremiah 31	PROPHECY-FULFILLMENT	VERIFIED	Corrected to master ID 163.
ONE_PARALLEL	183	John the Baptist Preaching in the Wilderness	Mark 1	Isaiah 40	PROPHECY-FULFILLMENT	VERIFIED	Uses actual Doré John-the-Baptist plate; corrected source from obsolete Matthew-title row.
ONE_PARALLEL	183	John the Baptist Preaching in the Wilderness	Mark 1	Malachi 3	MESSENGER PROPHECY	VERIFIED	Uses actual Doré John-the-Baptist plate.
ONE_PARALLEL	196	The Temptation of Jesus	Luke 4	Deuteronomy 6	SCRIPTURE-IN-JESUS	VERIFIED	Corrected to actual Doré temptation plate.
ONE_PARALLEL	196	The Temptation of Jesus	Luke 4	Deuteronomy 8	SCRIPTURE-IN-JESUS	VERIFIED	Corrected to actual Doré temptation plate.
ONE_PARALLEL	164	The Sermon on the Mount	Matthew 5	Exodus 20	LAW-FULFILLMENT	VERIFIED	Master ID verified.
ONE_PARALLEL	168	Christ Feeding the Multitude	Matthew 14	Exodus 16	MANNA-BREAD TYPOLOGY	VERIFIED	Master ID verified.
ONE_PARALLEL	170	The Transfiguration	Matthew 17	Exodus 34	MOSES-GLORY PARALLEL	VERIFIED	Master ID verified.
ONE_PARALLEL	172	Entry of Jesus Into Jerusalem	Matthew 21	Zechariah 9	PROPHECY-FULFILLMENT	VERIFIED	Master ID verified.
ONE_PARALLEL	174	Jesus Praying in the Garden	Matthew 26	Genesis 3	GARDEN-ADAM CHRIST CONTRAST	VERIFIED	Master ID verified.
ONE_PARALLEL	178	The Erection of the Cross	Matthew 27	Psalm 22	MESSIANIC PASSION	VERIFIED	Master ID verified.
ONE_PARALLEL	178	The Erection of the Cross	Matthew 27	Numbers 21	SERPENT-CRUCIFIXION TYPOLOGY	VERIFIED	Master ID verified.
ONE_PARALLEL	181	The Burial of Christ	Matthew 27	Isaiah 53	PROPHECY-FULFILLMENT	VERIFIED	Master ID verified.
ONE_PARALLEL	182	The Resurrection	Matthew 28	Psalm 16	MESSIANIC RESURRECTION	VERIFIED	Master ID verified.
ONE_PARALLEL	182	The Resurrection	Matthew 28	1 Corinthians 15	RESURRECTION THEOLOGY	VERIFIED	Master ID verified.
ONE_PARALLEL	192	The Ascension	Mark 16	Psalm 110	MESSIANIC ENTHRONEMENT	VERIFIED	Master ID verified.
ONE_PARALLEL	192	The Ascension	Mark 16	Daniel 7	SON-OF-MAN ENTHRONEMENT	VERIFIED	Master ID verified.
ONE_PARALLEL	210	The Crucifixion	Luke 23	Isaiah 53	PROPHECY-FULFILLMENT	VERIFIED	Master ID verified.
ONE_PARALLEL	210	The Crucifixion	Luke 23	Zechariah 12	PROPHECY-FULFILLMENT	VERIFIED	Master ID verified.
ONE_PARALLEL	217	Jesus and the Woman Taken in Adultery	John 8	Leviticus 20	LAW-MERCY DIALOGUE	VERIFIED	Corrected to master ID 217.
ONE_PARALLEL	218	Resurrection of Lazarus	John 11	Ezekiel 37	RESURRECTION MOTIF	VERIFIED	Corrected to master ID 218.
ONE_PARALLEL	224	The Descent of the Spirit	Acts 2	Joel 2	PROPHECY-FULFILLMENT	VERIFIED	Corrected Pentecost row to actual master plate.
ONE_PARALLEL	224	The Descent of the Spirit	Acts 2	Genesis 11	BABEL-PENTECOST CANONICAL CONTRAST	VERIFIED	Corrected Pentecost row to actual master plate.
ONE_PARALLEL	229	Conversion of Saul	Acts 9	Galatians 1	PAUL AUTOBIOGRAPHICAL RETROSPECT	VERIFIED	Corrected to master ID 229.
ONE_PARALLEL	230	St. Peter the House of Cornelius	Acts 10	Leviticus 11	CLEAN-UNCLEAN FULFILLMENT	VERIFIED	Corrected to actual Acts 10 master plate; relation derives from the chapter's vision/Cornelius sequence.
ONE_PARALLEL	234	St. Paul Shipwrecked	Acts 27	2 Corinthians 11	PAUL AUTOBIOGRAPHICAL RETROSPECT	VERIFIED	Corrected to master ID 234.
RULE	*	STAGE 3B RULE	241 master catalog	Only rows tied to an actual master plate	MASTER-ID-LOCK	ACTIVE	Obsolete rows naming Doré works absent from the 241 master catalog were removed rather than assigned fabricated IDs.
