layer	dore_id	dore_title	semantic_target	semantic_basis
STAGE4	054	Jael and Sisera	Judges 5	VICTORY_SONG
STAGE4	055	Deborah	Micah 4	LEADERSHIP_RESTORATION
STAGE4	056	Gideon Choosing His Soldiers	Zechariah 4	NOT_BY_MIGHT
STAGE4	057	The Midianites Put to Flight	Psalm 83	MIDIAN_ENEMIES
STAGE4	058	Death of the Sons of Gideon	Psalm 94	MURDER_JUSTICE
STAGE4	059	Death of Abimelech	Psalm 7	VIOLENCE_RETURNS
STAGE4	060	Jephthah's Daughter Coming to Meet Her Father	Ecclesiastes 5	VOW_WARNING
STAGE4	061	The Daughters of Israel Lamenting the Daughter of Jephthah	Lamentations 2	DAUGHTERS_LAMENT
STAGE4	062	Samson Slaying a Lion	Proverbs 30	LION_STRENGTH
STAGE4	063	Samson Destroying the Philistines With the Jawbone of an Ass	Psalm 18	WARRIOR_DELIVERANCE
STAGE4	064	Samson Carrying Away the Gates of Gaza	Isaiah 45	BROKEN_GATES
STAGE4	065	Samson and Delilah	Proverbs 7	SEDUCTION_BETRAYAL
STAGE4	066	Death of Samson	Hebrews 11	FAITH_IN_WEAKNESS
STAGE4	067	The Levite Finding the Corpse of the Woman	Hosea 9	ISRAEL_CORRUPTION
STAGE4	068	The Levite Bearing Away the Body of the Woman	Hosea 10	NATIONAL_GUILT
STAGE4	069	The Children of Benjamin Carrying Off the Virgins of Jabesh-Gilead	Judges 20	BENJAMIN_CRISIS
STAGE4	070	Naomi and Her Daughters-In-Law	Psalm 126	RETURN_TEARS
STAGE4	071	Boaz and Ruth	Proverbs 31	VIRTUOUS_WOMAN
STAGE4	072	Return of the Ark to Bethshemesh	Psalm 132	ARK_RESTING_PLACE
STAGE4	073	Samuel Blessing Saul	Deuteronomy 17	KINGSHIP
STAGE4	074	Death of Agag	Ecclesiastes 8	JUDGMENT_KING
STAGE4	075	David and Goliath	Psalm 144	BATTLE_TRAINING
STAGE4	076	Saul Attempts the Life of David	Psalm 59	ENEMIES_WATCH_HOUSE
STAGE4	077	The Escape of David Through the Window	Psalm 18	ESCAPE_DELIVERANCE
STAGE4	078	David and Jonathan	Proverbs 17	FRIENDSHIP
STAGE4	079	David Showing Saul that He had Spared His Life	Romans 12	NON_RETALIATION
STAGE4	080	Saul and the Witch of Endor	Isaiah 8	MEDIUMS_WARNING
STAGE4	081	Death of Saul	1 Chronicles 10	SAUL_DEATH_RETELLING
STAGE4	082	Combat Between the Champions of Ish-Bosheth and David	Psalm 55	VIOLENCE_CITY
STAGE4	083	David Punishing the Ammonites	Amos 1	AMMON_JUDGMENT
STAGE4	084	Death of Absalom	Proverbs 16	PRIDE_FALL
STAGE4	085	David Mourning the Death of Absalom	Psalm 6	GRIEF
STAGE4	086	Rizpah's Kindness Unto the Dead	Lamentations 4	MOURNING_DEAD
STAGE4	087	Abishai Saves the Life of David	Psalm 18	RESCUE_BATTLE
STAGE4	088	Judgment of Solomon	Proverbs 2	WISDOM_JUSTICE
STAGE4	089	Cutting Down Cedars for the Construction of the Temple	Psalm 92	CEDARS_HOUSE_GOD
STAGE4	090	The Disobedient Prophet Slain by a Lion	Amos 3	LION_JUDGMENT
STAGE4	091	Elijah Raiseth the Son of the Widow of Zarephath	Psalm 30	LIFE_FROM_DEATH
STAGE4	092	Slaughter of the Prophets of Baal	Deuteronomy 13	FALSE_PROPHETS
STAGE4	093	Elijah Nourished by an Angel	Psalm 34	ANGEL_PROVISION
STAGE4	094	Slaughter of the Syrians by the Children of Israel	Psalm 46	WAR_GOD
STAGE4	095	Death of Ahab	Micah 1	SAMARIA_JUDGMENT
STAGE4	096	Elijah Destroys the Messengers of Ahaziah by Fire	Luke 9	ELIJAH_FIRE
STAGE4	097	Elijah Taken Up To Heaven in a Chariot of Fire	Malachi 4	ELIJAH_RETURN
STAGE4	098	The Children Destroyed by Bears	Proverbs 30	BEAR_DANGER
STAGE4	099	The Famine in Samaria	Lamentations 4	FAMINE_SIEGE
STAGE4	100	The Death of Jezebel	Revelation 2	JEZEBEL_JUDGMENT
STAGE4	101	Jehu's Companions Finding the Remains of Jezebel	Psalm 83	CORPSE_JUDGMENT
STAGE4	102	The Strange Nations Slain by the Lions of Samaria	Hosea 13	BEAST_JUDGMENT
STAGE4	103	Destruction of the Army of Sennacherib	Psalm 46	ZION_DELIVERANCE
STAGE4	104	Slaughter of the Sons of Zedekiah Before Their Father	Lamentations 5	EXILE_HUMILIATION
STAGE4	105	The Inhabitants of Jabesh-Gilead Recovering the Bodies of Saul and His Sons	2 Samuel 1	MOURNING_SAUL
STAGE4	106	Plague of Jerusalem	Psalm 30	PLAGUE_MERCY
STAGE4	107	Solomon	Proverbs 1	WISDOM_KING
STAGE4	108	Solomon Receiving the Queen of Sheba	Psalm 72	KINGS_GIFTS
STAGE4	109	The Destruction of the Armies of the Ammonites and Moabites	Psalm 83	NATIONS_CONSPIRACY
STAGE4	110	Death of Athaliah	2 Kings 11	ATHALIAH_PARALLEL
STAGE4	111	Cyrus Restoring the Vessels of the Temple	Isaiah 45	CYRUS_RESTORATION
STAGE4	112	The Rebuilding of the Temple	Zechariah 4	TEMPLE_REBUILDING
STAGE4	113	Artaxerxes Granting Liberty to the Jews	Nehemiah 2	ROYAL_PERMISSION
STAGE4	114	Ezra Reading the Law	Psalm 119	LAW_DELIGHT
STAGE4	115	Nehemiah Viewing the Ruins of Jerusalem	Lamentations 1	RUINED_CITY
STAGE4	116	Rebuilding the Walls of Jerusalem	Isaiah 58	REPAIR_BREACH
STAGE4	117	Esther Before Ahasuerus	Proverbs 21	KING_HEART
STAGE4	118	Job and His Friends	Psalm 88	SUFFERING_COMPANIONS
STAGE4	119	Job Hearing of His Ruin	Lamentations 3	AFFLICTION
STAGE4	120	Job's Despair	Psalm 22	GOD_FORSAKEN_LAMENT
STAGE4	121	Job and His Three Friends	Proverbs 18	WORDS_CONFLICT
STAGE4	122	Job Restored to Prosperity	Psalm 126	RESTORATION
STAGE4	123	David Playing the Harp	Psalm 33	MUSIC_PRAISE
STAGE4	124	David in Prayer	Psalm 143	PRAYER
STAGE4	125	The Prophet Isaiah	Isaiah 1	PROPHETIC_CALL
STAGE4	126	The Vision of Isaiah	Revelation 4	THRONE_VISION
STAGE4	127	Isaiah Prophesying	Isaiah 55	WORD_GOES_FORTH
STAGE4	128	The Destruction of Babylon	Revelation 18	BABYLON_FALL
STAGE4	129	The Return from Captivity	Psalm 126	RETURN_EXILE
STAGE4	130	The Suffering Servant	Philippians 2	HUMILIATION_EXALTATION
STAGE4	131	Jeremiah Lamenting the Destruction of Jerusalem	Lamentations 1	CITY_LAMENT
STAGE4	132	Jeremiah in the Dungeon	Psalm 40	PIT_RESCUE
STAGE4	133	Baruch Writing Jeremiah's Prophecies	2 Timothy 3	SCRIPTURE_WRITING
STAGE4	134	The Flight of the Prisoners	Lamentations 5	EXILE_CAPTIVITY
STAGE4	135	Ezekiel Prophesying	Ezekiel 2	PROPHET_SENT
STAGE4	136	Jonah Cast Forth by the Whale	Psalm 130	DEPTHS_DELIVERANCE
STAGE4	137	Jonah Preaching to Nineveh	Nahum 3	NINEVEH
STAGE4	138	Daniel Interpreting the Dream	Daniel 7	VISION_INTERPRETATION
STAGE4	139	Ezekiel's Vision of the Valley of Dry Bones	Romans 8	LIFE_SPIRIT
STAGE4	140	The Vision of Ezekiel	Revelation 4	LIVING_CREATURES_THRONE
STAGE4	141	The Fiery Furnace	Isaiah 43	FIRE_PRESENCE
STAGE4	142	Daniel in the Lions' Den	Psalm 57	LIONS_DELIVERANCE
STAGE4	161	The Angel Raphael and Tobias	Psalm 91	ANGEL_GUIDANCE
STAGE4	162	Tobias Returning to His Family	Luke 15	RETURN_HOME
STAGE4	163	Judith Showing the Head of Holofernes	Judges 5	WOMAN_VICTORY
STAGE4	164	Judith and Holofernes	Proverbs 31	COURAGE_WOMAN
STAGE4	165	Mattathias and the Apostate	Numbers 25	ZEAL_COVENANT
STAGE4	166	The Martyrdom of Eleazar	Daniel 3	FAITHFUL_UNDER_PERSECUTION
STAGE4	167	The Seven Maccabean Brothers	Hebrews 11	MARTYRDOM_FAITH
STAGE4	168	Heliodorus Driven from the Temple	John 2	TEMPLE_ZEAL
STAGE4	169	The Angel Appearing to Judas Maccabeus	Joshua 5	HEAVENLY_WARRIOR
STAGE4	170	The Triumph of Judas Maccabeus	Psalm 118	VICTORY_PROCESSION
STAGE4	171	Jonathan Destroying the Temple of Dagon	1 Samuel 5	IDOL_DEFEAT
STAGE4	172	The Death of Jonathan	2 Samuel 1	FALLEN_HERO_LAMENT
STAGE4	173	The Punishment of Antiochus	Acts 12	PROUD_RULER_JUDGMENT
STAGE4	174	The Vision of the High Priest Onias	Hebrews 7	PRIESTHOOD
STAGE4	175	The Prayer for the Dead	1 Corinthians 15	RESURRECTION_HOPE
STAGE4	176	The Death of Judas Maccabeus	2 Samuel 1	HEROIC_DEATH_LAMENT
STAGE4	177	Alexander the Great Before the High Priest	Daniel 8	GREEK_EMPIRE
STAGE4	178	The Jews Rebuilding Jerusalem	Nehemiah 4	REBUILDING_DEFENSE
STAGE4	179	The Feast of Purim	Esther 9	DELIVERANCE_FEAST
STAGE4	180	The Angel Delivering the Three Children	Daniel 3	ANGELIC_DELIVERANCE
STAGE4	181	Susanna and the Elders	Deuteronomy 19	FALSE_WITNESS
STAGE4	182	Daniel Judging the Elders	Proverbs 18	JUDGMENT_HEARING
STAGE4	183	Bel and the Dragon	Isaiah 46	IDOLS_POWERLESS
STAGE4	184	Daniel Killing the Dragon	Psalm 74	MONSTER_DEFEAT
STAGE4	185	Daniel in the Lions' Den Again	Psalm 91	LION_PROTECTION
STAGE4	186	The Prayer of Manasses	Psalm 51	REPENTANCE
STAGE4	187	The Captivity of the Jews	Psalm 137	EXILE
STAGE4	188	The Return from Babylon	Isaiah 52	RETURN_ZION
STAGE4	189	The Temple Restored	Haggai 1	TEMPLE_RESTORATION
STAGE4	190	The Reading of the Law	Nehemiah 8	LAW_READING
STAGE4	191	The Heavenly Host	2 Kings 6	HEAVENLY_ARMY
STAGE4	192	The New Jerusalem	Revelation 21	NEW_JERUSALEM
STAGE4	193	The Annunciation	Isaiah 7	IMMANUEL
STAGE4	194	The Nativity	Micah 5	BETHLEHEM
STAGE4	195	The Flight into Egypt	Psalm 121	JOURNEY_PROTECTION
STAGE4	196	Massacre of the Innocents	Lamentations 2	CHILDREN_LAMENT
STAGE4	197	John the Baptist Preaching	Malachi 4	FORERUNNER
STAGE4	198	The Temptation of Jesus	Hebrews 4	TEMPTED_WITHOUT_SIN
STAGE4	199	The Sermon on the Mount	Psalm 1	RIGHTEOUS_WAY
STAGE4	200	Christ Healing the Sick	Isaiah 35	HEALING_MESSIAH
STAGE4	201	Christ and the Centurion	Psalm 107	WORD_HEALS
STAGE4	202	Christ Stilling the Tempest	Psalm 107	STORM_STILLED
STAGE4	203	The Daughter of Jairus	Isaiah 26	DEAD_ARISE
STAGE4	204	Christ Feeding the Multitude	Psalm 78	WILDERNESS_FOOD
STAGE4	205	Christ Walking on the Sea	Job 9	TREADS_WAVES
STAGE4	206	The Canaanite Woman	Isaiah 56	NATIONS_FAITH
STAGE4	207	The Transfiguration	Psalm 2	BELOVED_SON
STAGE4	208	Christ Blessing Little Children	Psalm 127	CHILDREN_GIFT
STAGE4	209	Entry of Jesus Into Jerusalem	Psalm 118	BLESSED_COMING_KING
STAGE4	210	Christ Driving the Money Changers from the Temple	Malachi 3	LORD_COMES_TEMPLE
STAGE4	211	The Tribute Money	Romans 13	CAESAR_AUTHORITY
STAGE4	212	The Last Supper	Exodus 12	PASSOVER_MEAL
STAGE4	213	Jesus Praying in the Garden	Psalm 42	SOUL_SORROW
STAGE4	214	The Crucifixion	Zechariah 12	PIERCED_ONE
STAGE4	215	The Descent from the Cross	Lamentations 1	SORROW
STAGE4	216	The Burial of Christ	Psalm 88	GRAVE_DARKNESS
STAGE4	217	The Resurrection	Hosea 6	THIRD_DAY_LIFE
STAGE4	218	The Ascension	Psalm 68	ASCENSION
STAGE4	219	The Good Samaritan	Leviticus 19	LOVE_NEIGHBOR
STAGE4	220	The Prodigal Son	Hosea 14	RETURN_REPENTANCE
STAGE4	221	The Rich Man and Lazarus	Amos 6	RICH_COMPLACENCY
STAGE4	222	Jesus and the Woman Taken in Adultery	Hosea 3	MERCY_UNFAITHFULNESS
STAGE4	223	The Raising of Lazarus	Ezekiel 37	LIFE_FROM_DEATH
STAGE4	224	The Descent of the Spirit	Ezekiel 36	SPIRIT_NEW_HEART
STAGE4	225	Peter Healing the Lame Man	Isaiah 35	LAME_LEAP
STAGE4	226	Death of Ananias	Joshua 7	COMMUNITY_DECEIT_JUDGMENT
STAGE4	227	Stephen Before the Council	Jeremiah 26	PROPHET_BEFORE_COUNCIL
STAGE4	228	The Stoning of Stephen	2 Chronicles 24	RIGHTEOUS_WITNESS_STONED
STAGE4	229	The Conversion of Saul	Isaiah 6	CALL_VISION
STAGE4	230	Paul and Barnabas at Lystra	Isaiah 42	NATIONS_IDOLATRY
STAGE4	231	Paul and Silas in Prison	Psalm 42	SONG_IN_DISTRESS
STAGE4	232	Peter's Vision	Isaiah 56	NATIONS_ACCEPTED
STAGE4	233	Paul at Athens	Isaiah 44	IDOLATRY_CREATOR
STAGE4	234	St. Paul Shipwrecked	Psalm 107	SEA_DELIVERANCE
STAGE4	235	Paul Before Felix	Micah 6	RIGHTEOUSNESS_JUDGMENT
STAGE4	236	Paul Before Agrippa	Isaiah 49	WITNESS_KINGS
STAGE4	237	Paul Preaching at Rome	Isaiah 52	GOOD_NEWS
STAGE4	238	The Vision of St. John	Ezekiel 1	APOCALYPTIC_VISION
STAGE4	239	The Four Horsemen	Zechariah 6	HORSEMEN_VISION
STAGE4	240	The Last Judgment	Daniel 7	JUDGMENT_THRONE
STAGE4	241	The New Jerusalem	Isaiah 60	ZION_GLORY
