layer	book	chapter	dore_id	dore_title	basis
STAGE6	Psalms	19	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	20	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	21	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	22	122	Isaiah	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	23	078	David and Jonathan	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	24	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	25	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	26	114	Ezra in Prayer	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	27	001	The Creation of Light	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	28	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	29	007	The Deluge	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	30	085	David Mourning the Death of Absalom	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	31	077	The Escape of David Through the Window	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	32	122	Isaiah	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	33	001	The Creation of Light	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	34	079	David Showing Saul that He had Spared His Life	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	35	076	Saul Attempts the Life of David	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	36	001	The Creation of Light	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	37	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	38	125	Jeremiah	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	39	122	Isaiah	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	40	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	41	085	David Mourning the Death of Absalom	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	42	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	43	114	Ezra in Prayer	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	44	103	Destruction of the Army of Sennacherib	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	45	108	Solomon Receiving the Queen of Sheba	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	46	103	Destruction of the Army of Sennacherib	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	47	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	48	103	Destruction of the Army of Sennacherib	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	49	125	Jeremiah	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	50	122	Isaiah	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	51	122	Isaiah	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	52	043	Death of Korah, Dathan, and Abiram	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	53	122	Isaiah	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	54	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	55	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	56	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	57	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	58	043	Death of Korah, Dathan, and Abiram	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	59	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	60	037	The Egyptians Drowned in the Red Sea	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	61	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	62	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	63	015	Hagar and Ishmael in the Wilderness	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	64	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	65	116	Ezra Reading the Law in the Hearing of the People	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	66	037	The Egyptians Drowned in the Red Sea	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	67	116	Ezra Reading the Law in the Hearing of the People	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	68	072	Return of the Ark to Bethshemesh	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	69	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	70	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	71	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	72	088	Judgment of Solomon	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	73	116	Ezra Reading the Law in the Hearing of the People	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	74	115	Nehemiah Viewing Secretly the Ruins of the Walls of Jerusalem	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	75	043	Death of Korah, Dathan, and Abiram	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	76	103	Destruction of the Army of Sennacherib	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	77	037	The Egyptians Drowned in the Red Sea	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	78	038	Moses Striking the Rock in Horeb	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	79	127	The People Mourning Over the Ruins of Jerusalem	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	80	127	The People Mourning Over the Ruins of Jerusalem	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	81	111	Cyrus Restoring the Vessels of the Temple	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	82	088	Judgment of Solomon	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	83	057	The Midianites Put to Flight	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	84	111	Cyrus Restoring the Vessels of the Temple	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	85	111	Cyrus Restoring the Vessels of the Temple	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	86	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	87	127	The People Mourning Over the Ruins of Jerusalem	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	88	121	Job and His Friends	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	89	088	Judgment of Solomon	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	90	040	Moses Coming Down From Mt. Sinai	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	91	093	Elijah Nourished by an Angel	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	92	122	Isaiah	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	93	007	The Deluge	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	94	088	Judgment of Solomon	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	95	038	Moses Striking the Rock in Horeb	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	96	072	Return of the Ark to Bethshemesh	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	97	122	Isaiah	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	98	072	Return of the Ark to Bethshemesh	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	99	040	Moses Coming Down From Mt. Sinai	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	100	072	Return of the Ark to Bethshemesh	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	101	088	Judgment of Solomon	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	102	127	The People Mourning Over the Ruins of Jerusalem	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	103	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	104	001	The Creation of Light	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	105	028	Joseph Makes Himself Known to His Brethren	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	106	039	The Giving of the Law Upon Mt. Sinai	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	107	046	The Children of Israel Crossing Jordan	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	108	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	109	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	110	088	Judgment of Solomon	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	111	039	The Giving of the Law Upon Mt. Sinai	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	112	116	Ezra Reading the Law in the Hearing of the People	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	113	070	Naomi and Her Daughters-In-Law	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	114	037	The Egyptians Drowned in the Red Sea	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	115	039	The Giving of the Law Upon Mt. Sinai	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	116	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	117	116	Ezra Reading the Law in the Hearing of the People	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	118	046	The Children of Israel Crossing Jordan	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	119	116	Ezra Reading the Law in the Hearing of the People	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	120	011	Abraham Journeying into the Land of Canaan	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	121	011	Abraham Journeying into the Land of Canaan	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	122	115	Nehemiah Viewing Secretly the Ruins of the Walls of Jerusalem	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	123	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	124	046	The Children of Israel Crossing Jordan	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	125	115	Nehemiah Viewing Secretly the Ruins of the Walls of Jerusalem	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	126	111	Cyrus Restoring the Vessels of the Temple	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	127	089	Cutting Down Cedars for the Construction of the Temple	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	128	071	Boaz and Ruth	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	129	036	The Egyptians Urge Moses to Depart	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	130	115	Nehemiah Viewing Secretly the Ruins of the Walls of Jerusalem	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	131	071	Boaz and Ruth	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	132	072	Return of the Ark to Bethshemesh	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	133	039	The Giving of the Law Upon Mt. Sinai	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	134	089	Cutting Down Cedars for the Construction of the Temple	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	135	057	The Midianites Put to Flight	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	136	037	The Egyptians Drowned in the Red Sea	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	137	130	Daniel	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	138	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	139	001	The Creation of Light	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	140	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	141	039	The Giving of the Law Upon Mt. Sinai	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	142	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	143	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	144	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	145	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	146	015	Hagar and Ishmael in the Wilderness	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	147	112	The Rebuilding of the Temple	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	148	001	The Creation of Light	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	149	057	The Midianites Put to Flight	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	150	072	Return of the Ark to Bethshemesh	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
